nodeCount,objVal,objBound,MIPGap,Presolve,VarBranch,NodeMethod,Cuts,MIPSepCuts,ZeroHalfCuts
3835,-97301.0,-97105.00000000007,0.002014367786558486,-1,-1,-1,-1,-1,-1
3781,-97335.0,-97105.00000000004,0.002362973236759196,0,-1,-1,-1,-1,-1
3775,-97228.0,-97105.00000000004,0.0012650676759776644,-1,-1,-1,0,0,2
3828,-97301.0,-97105.00000000007,0.002014367786558486,-1,0,-1,-1,-1,-1
6029,-97324.0,-97105.00000000007,0.0022502157741145787,-1,1,-1,-1,-1,-1
5908,-97223.0,-97105.0000000001,0.0012137045760766295,-1,2,-1,-1,-1,-1
375,-97258.0,-97105.00000000007,0.0015731353718966793,-1,3,-1,-1,-1,-1
1767,-97326.0,-97105.00000000004,0.0022707190267755415,-1,-1,0,-1,-1,-1
3800,-97301.0,-97105.00000000007,0.002014367786558486,-1,-1,1,-1,-1,-1
369,-97338.0,-97105.00000000004,0.0023937208489999418,-1,-1,2,-1,-1,-1
3774,-97207.0,-97105.00000000004,0.0010493071486616843,-1,-1,-1,0,2,0
3579,-97301.0,-97105.00000000007,0.002014367786558486,-1,-1,-1,-1,-1,-1
3763,-97336.0,-97105.00000000004,0.002373222651433759,0,-1,-1,-1,-1,-1
3777,-97228.0,-97105.00000000004,0.0012650676759776644,-1,-1,-1,0,0,2
3707,-97301.0,-97105.00000000007,0.002014367786558486,-1,0,-1,-1,-1,-1
6043,-97324.0,-97105.00000000007,0.0022502157741145787,-1,1,-1,-1,-1,-1
6352,-97223.0,-97105.0000000001,0.0012137045760766295,-1,2,-1,-1,-1,-1
409,-97258.0,-97105.00000000007,0.0015731353718966793,-1,3,-1,-1,-1,-1
2092,-97326.0,-97105.00000000004,0.0022707190267755415,-1,-1,0,-1,-1,-1
3827,-97301.0,-97105.00000000007,0.002014367786558486,-1,-1,1,-1,-1,-1
362,-97338.0,-97105.00000000004,0.0023937208489999418,-1,-1,2,-1,-1,-1
3784,-97207.0,-97105.00000000004,0.0010493071486616843,-1,-1,-1,0,2,0
