nodeCount,objVal,objBound,MIPGap,Presolve,VarBranch,NodeMethod,Cuts,MIPSepCuts,ZeroHalfCuts
1,-176869.0,-176815.0,0.0003053107101866353,-1,-1,-1,-1,-1,-1
82,-176886.0,-176814.0,0.0004070418235473695,0,-1,-1,-1,-1,-1
325,-177010.0,-176798.0,0.0011976724478843003,-1,-1,-1,0,0,2
1,-176869.0,-176815.0,0.0003053107101866353,-1,0,-1,-1,-1,-1
456,-176869.0,-176815.0,0.0003053107101866353,-1,1,-1,-1,-1,-1
402,-176869.0,-176815.0,0.0003053107101866353,-1,2,-1,-1,-1,-1
11,-176869.0,-176815.0,0.0003053107101866353,-1,3,-1,-1,-1,-1
1,-176934.0,-176814.0,0.0006782189969141035,-1,-1,0,-1,-1,-1
1,-176869.0,-176815.0,0.0003053107101866353,-1,-1,1,-1,-1,-1
1,-177191.0,-176810.0,0.0021502220767420466,-1,-1,2,-1,-1,-1
748,-176878.0,-176787.0,0.000514478906364839,-1,-1,-1,0,2,0
1,-176869.0,-176815.0,0.0003053107101866353,-1,-1,-1,-1,-1,-1
59,-176886.0,-176814.0,0.0004070418235473695,0,-1,-1,-1,-1,-1
243,-177010.0,-176798.0,0.0011976724478843003,-1,-1,-1,0,0,2
1,-176869.0,-176815.0,0.0003053107101866353,-1,0,-1,-1,-1,-1
466,-176869.0,-176815.0,0.0003053107101866353,-1,1,-1,-1,-1,-1
605,-176869.0,-176815.0,0.0003053107101866353,-1,2,-1,-1,-1,-1
11,-176869.0,-176815.0,0.0003053107101866353,-1,3,-1,-1,-1,-1
1,-176934.0,-176814.0,0.0006782189969141035,-1,-1,0,-1,-1,-1
1,-176869.0,-176815.0,0.0003053107101866353,-1,-1,1,-1,-1,-1
1,-177191.0,-176810.0,0.0021502220767420466,-1,-1,2,-1,-1,-1
755,-176878.0,-176787.0,0.000514478906364839,-1,-1,-1,0,2,0
